Ticker,Date,Open,High,Low,Close,Volume
ACS.MC,2020-01-02,23.741401347,23.7811584719,23.3173313141,23.3173313141,547978
ACS.MC,2020-01-03,23.264313002,23.264313002,22.8799976685,23.0323982239,934352
ACS.MC,2020-01-06,22.9926434117,23.0854108665,22.6547130457,22.8866252899,660353
ACS.MC,2020-01-07,22.9396390774,23.178179248,22.8402462741,22.9528923035,752310
ACS.MC,2020-01-08,22.8932549982,23.0721594742,22.7541050835,23.0191516876,696003
ACS.MC,2020-01-09,23.2908228665,23.2974507581,22.7010990491,22.7408561707,768472
ACS.MC,2020-01-10,22.8402400818,22.8866225251,22.6083278656,22.6083278656,1273372
ACS.MC,2020-01-13,22.7209733658,22.7408519228,22.5420663523,22.667963028,1061479
ACS.MC,2020-01-14,22.654716593,22.7408561707,22.4161764208,22.7408561707,1469249
ACS.MC,2020-01-15,22.6083310262,22.7806076007,22.0649871826,22.0649871826,1264933
ACS.MC,2020-01-16,22.0848660131,22.7276000977,22.0119796708,22.7276000977,906584
ACS.MC,2020-01-17,23.0456572435,23.4962336903,22.9263858795,22.9263858795,1234622
ACS.MC,2020-01-20,23.0390231388,23.1582944707,22.8203615875,22.8799972534,1024050
ACS.MC,2020-01-21,22.773981488,22.8932528321,22.6215809196,22.6282062531,712275
ACS.MC,2020-01-22,22.7077224134,22.8203658766,22.3101563466,22.3300323486,573392
ACS.MC,2020-01-23,21.2698511082,21.660791795,20.7463871363,21.1373291016,2550144
ACS.MC,2020-01-24,21.3361151429,21.3891229271,21.124078892,21.1572093964,828087
ACS.MC,2020-01-27,21.1042027593,21.2234728445,20.6735048743,20.8524093628,876462
ACS.MC,2020-01-28,20.8789098486,21.0048065186,20.5608555071,21.0048065186,885547
ACS.MC,2020-01-29,20.971678442,21.104201747,20.5873643097,20.9186706543,1090113
ACS.MC,2020-01-30,20.7397613766,20.8921619368,20.5873608164,20.6867523193,852344
ACS.MC,2020-01-31,20.6867528469,20.7000047919,19.8452357992,19.8982448578,1516250
ACS.MC,2020-02-03,19.8982496967,19.8982496967,19.4344200012,19.5868206024,1348666
ACS.MC,2020-02-04,19.7524720957,19.9181246255,19.6795844711,19.7325935364,1260792
ACS.MC,2020-02-05,19.7193386925,20.3819512715,19.5603115201,20.1765403748,1140897
ACS.MC,2020-02-06,20.3421991015,20.487973086,19.9181265387,19.9777622223,1440616
ACS.MC,2020-02-07,19.8783688082,20.2229270935,19.8452383022,20.2229270935,1253057
ACS.MC,2020-02-10,20.2096716944,20.4415851968,20.0837750259,20.1301574707,1064627
ACS.MC,2020-02-11,20.3819545216,20.9650529682,20.0837786856,20.8855400085,1336375
ACS.MC,2020-02-12,20.88554118,21.0776976164,20.6735049044,21.0445671082,1596528
ACS.MC,2020-02-13,20.9054187798,21.0909485946,20.6867559013,21.0578193665,801992
ACS.MC,2020-02-14,21.1240793071,21.1770883708,20.7132587433,20.7132587433,980410
ACS.MC,2020-02-17,20.9385469811,21.2035923004,20.8126515732,21.2035923004,881779
ACS.MC,2020-02-18,21.1997110583,21.1997110583,20.7896971519,20.9106845856,967845
ACS.MC,2020-02-19,21.1593806057,21.1997101809,19.9965553284,19.9965553284,2504610
ACS.MC,2020-02-20,20.0032793679,20.7292053099,19.7344176677,20.6821537018,1566078
ACS.MC,2020-02-21,20.520835388,20.520835388,20.1041007517,20.1914806366,1885893
ACS.MC,2020-02-24,19.6806403877,19.8554001247,19.0958681198,19.4857158661,1940711
ACS.MC,2020-02-25,19.5529344012,19.6201494926,18.564868927,18.564868927,2327474
ACS.MC,2020-02-26,18.5581468991,18.9076664117,18.3430575692,18.564868927,2234085
ACS.MC,2020-02-27,18.4102726587,18.5850324026,17.8927141573,18.3766651154,1922655
ACS.MC,2020-02-28,18.1481344204,18.1817419663,17.7112350274,18.0473117828,3491088
ACS.MC,2020-03-02,18.3296129507,18.3564997627,17.5431941272,18.0069789886,2000138
ACS.MC,2020-03-03,18.3228948476,18.6522495872,17.9532105328,17.9733753204,2385991
ACS.MC,2020-03-04,18.0271441239,18.2960044479,17.8254975839,17.953207016,2597902
ACS.MC,2020-03-05,18.1078048207,18.1615771534,17.1600689163,17.4087657928,2205277
ACS.MC,2020-03-06,17.1399015843,17.2407242068,16.4744702011,16.5887355804,2142093
ACS.MC,2020-03-09,15.74182491,15.8762550833,14.928519249,14.928519249,3426874
ACS.MC,2020-03-10,15.0427842175,15.5939489026,14.236199379,14.236199379,3061444
ACS.MC,2020-03-11,14.3639120015,14.7470403714,13.6043798839,13.7119245529,5863378
ACS.MC,2020-03-12,12.9927192555,13.0935405881,11.0938859321,11.12413311,4245957
ACS.MC,2020-03-13,13.2010862553,13.2010862553,11.036754083,11.1543798447,2958310
ACS.MC,2020-03-16,10.5158346418,10.5460818205,8.8556170375,9.5546560287,4539586
ACS.MC,2020-03-17,9.9478657228,10.2671386966,8.4758505859,9.1580858231,3644108
ACS.MC,2020-03-18,8.9934060164,9.2353814587,7.7969741545,7.8137779236,5162532
ACS.MC,2020-03-19,7.9717363235,8.2775659231,7.5281155155,7.6927928925,3931331
ACS.MC,2020-03-20,8.4556849071,9.20177479,8.1801019006,8.9900465012,4400176
ACS.MC,2020-03-23,8.7715965358,9.4706361481,8.5901160645,9.1782493591,2606583
ACS.MC,2020-03-24,9.7932718543,10.0822983485,9.5109680374,9.7462215424,3426084
ACS.MC,2020-03-25,10.1831204367,11.4266042911,10.0318858174,10.8619947433,3096559
ACS.MC,2020-03-26,10.5998535727,11.7626781062,10.418373093,11.5005397797,2608494
ACS.MC,2020-03-27,11.5072615572,11.8903886343,10.435177166,10.7914180756,2670224
ACS.MC,2020-03-30,10.5494436374,11.2921726678,9.7529422697,10.9493751526,6284210
ACS.MC,2020-03-31,11.2182350926,12.0785924543,10.8922420132,11.9744081497,2506915
ACS.MC,2020-04-01,11.5173437123,12.1760531826,11.3459456135,11.4165210724,2590682
ACS.MC,2020-04-02,11.4602098816,11.7828438903,11.2249570518,11.5576734543,1873540
ACS.MC,2020-04-03,11.5610326602,11.9172728834,11.3593873978,11.3593873978,1404763
ACS.MC,2020-04-06,12.4348293833,12.5490960512,11.9912080618,12.213019371,1815288
ACS.MC,2020-04-07,12.5894258075,14.0479980714,12.5860654424,13.3388767242,2709419
ACS.MC,2020-04-08,13.2044486353,13.8060254231,12.9187838323,13.2380561829,2025956
ACS.MC,2020-04-09,13.6110985847,13.7925803487,13.1473137276,13.4430608749,2778380
ACS.MC,2020-04-14,14.0883267248,14.343744289,13.6917569734,13.8261871338,2358197
ACS.MC,2020-04-15,13.8463545743,13.9673420013,13.4430627186,13.4766702652,2151051
ACS.MC,2020-04-16,13.5102783122,13.7388104154,12.9725549535,13.2615814209,2770070
ACS.MC,2020-04-17,13.6447076008,14.0143918991,13.4968346596,14.0143918991,1868102
ACS.MC,2020-04-20,14.1152162339,14.1757106014,13.5842161717,13.9068489075,1762285
ACS.MC,2020-04-21,13.5909338001,13.8597954326,13.4430608749,13.4430608749,2435576
ACS.MC,2020-04-22,13.5102761424,13.7791364816,13.4565038152,13.7320861816,1706775
ACS.MC,2020-04-23,13.6379860599,14.0479986104,13.6379860599,13.9471759796,1306273
ACS.MC,2020-04-24,13.7119257895,14.0480012894,13.5438867426,14.0480012894,1299975
ACS.MC,2020-04-27,14.2294817393,14.4311283169,14.1958741925,14.343747139,1526309
ACS.MC,2020-04-28,14.4512928524,15.0091810226,14.3571922334,15.0091810226,1622210
ACS.MC,2020-04-29,15.0562300716,15.9031420566,14.9890149788,15.8157634735,1368881
ACS.MC,2020-04-30,15.9367491877,16.0980648744,15.1906586251,15.3049240112,2792069
ACS.MC,2020-05-04,15.002458994,15.2377131355,14.7335973034,15.0091810226,1980246
ACS.MC,2020-05-05,15.3250905872,15.5401786086,14.9554050107,15.4662427902,2064607
ACS.MC,2020-05-06,15.3990281501,15.9300294786,15.197382864,15.6813325882,2494708
ACS.MC,2020-05-07,15.7283832985,15.9031417584,15.7149392427,15.7418260574,1268420
